financial_type,file_dt,fund_nm,best_fund_of_month,cumulative_p_l
Equities,2022-08-31,Fund Whitestone,3046119.9081180906,3046119.9081180906
Equities,2022-09-30,Magnum,1717924.9681749074,4676737.0742872834
Equities,2022-10-31,Fund Whitestone,20235577.7648092510,18822989.9242268938
Equities,2022-11-30,mend-report Wallington,2507173.8068432170,-9530032.9720901404
Equities,2022-12-31,Leeder,5797514.2883302682,-31788223.8124209850
Equities,2023-01-31,TT_monthly_Trustmind,13429730.2754814240,20844450.4099577284
Equities,2023-02-28,Magnum,5510639.2347173200,22066559.1115980352
Equities,2023-03-31,mend-report Wallington,7166366.3685934522,-5696803.6893757466
Equities,2023-04-30,Applebead,14191702.1858287120,11822892.3344773936
Equities,2023-05-31,Applebead,29265457.3245092594,41088349.6589866530
Equities,2023-06-30,Fund Whitestone,8423748.3955511572,33247054.9425662918
Equities,2023-07-31,mend-report Wallington,4411964.4425175678,-6153262.4434285196
Equities,2023-08-31,Fund Whitestone,10913454.5845610172,38986650.9223240810
