financial_type,fund_nm,file_dt,instrument_price,reference_price,price_diff
Equities,TT_monthly_Trustmind,2022-08-31,9525.0900000000,,
Government Bond,Virtous,2022-11-30,2458.0700000000,2458.07,0.00001
Government Bond,Applebead,2022-08-31,3289.4800000000,3289.4802,0.00001
Government Bond,Magnum,2022-10-31,3098.6700000000,3408.5369,-309.86698
Equities,Leeder,2023-01-31,13913.9000000000,13913.897,-0.00008
Equities,Fund Whitestone,2023-05-31,9076.4900000000,9076.488,-0.00010
Government Bond,rpt-Catalysm,2023-08-31,3929.3600000000,3929.36,0.00000
Equities,rpt-Catalysm,2023-03-31,15815.9400000000,15815.94,0.00010
Government Bond,rpt-Catalysm,2022-08-31,3937.2400000000,3937.2397,0.00002
Government Bond,Belaware,2023-04-30,3218.7900000000,3218.79,0.00001
Government Bond,Applebead,2023-07-31,3281.9800000000,3281.9802,-0.00002
Equities,Applebead,2023-07-31,11352.4500000000,11352.448,0.00007
Equities,Leeder,2023-04-30,14142.6600000000,,
Government Bond,Fund Whitestone,2022-12-31,3140.9300000000,3140.9302,0.00001
Equities,Magnum,2023-01-31,11939.3200000000,11939.318,-0.00008
Equities,TT_monthly_Trustmind,2023-02-28,10074.8000000000,,
Equities,Report-of-Gohen,2023-04-30,5669.4500000000,,
Government Bond,Leeder,2023-05-31,3140.9900000000,3140.9897,0.00002
Government Bond,Applebead,2022-11-30,3292.7800000000,3292.7795,0.00001
Government Bond,Magnum,2022-09-30,3093.4200000000,3093.42,-0.00002
Government Bond,Applebead,2022-12-31,3284.7900000000,3284.7903,0.00000
Government Bond,Fund Whitestone,2022-10-31,3135.7400000000,3449.314,-313.57400
Government Bond,Fund Whitestone,2023-07-31,3137.0000000000,3137.0,-0.00001
Government Bond,Virtous,2022-12-31,2452.4500000000,2452.45,-0.00002
Government Bond,rpt-Catalysm,2023-06-30,3923.6900000000,3923.69,0.00001
Government Bond,Belaware,2023-03-31,3213.8500000000,3213.8506,0.00002
Equities,Leeder,2022-12-31,13156.8300000000,,
Equities,Applebead,2023-02-28,10717.2200000000,10717.22,-0.00003
Government Bond,Leeder,2022-11-30,3148.0100000000,3148.0098,0.00002
Government Bond,rpt-Catalysm,2023-02-28,3930.9900000000,3930.9897,0.00000
Government Bond,Virtous,2023-06-30,2446.4800000000,2446.48,-0.00004
Government Bond,Applebead,2022-10-31,3283.8300000000,3612.2126,-328.38298
Equities,mend-report Wallington,2022-08-31,11819.8800000000,,
Equities,Virtous,2023-04-30,8524.8500000000,,
Government Bond,Virtous,2022-10-31,2449.1600000000,2694.0762,-244.91600
Government Bond,Fund Whitestone,2023-01-31,3134.6700000000,3134.6704,0.00000
Equities,Virtous,2023-05-31,8334.5800000000,8334.58,0.00000
Equities,mend-report Wallington,2023-04-30,14403.8000000000,,
Equities,Report-of-Gohen,2022-08-31,5338.4700000000,,
Equities,Virtous,2023-03-31,8583.5900000000,8583.591,0.00002
Equities,TT_monthly_Trustmind,2023-05-31,9769.6900000000,,
Equities,Report-of-Gohen,2023-08-31,5946.3600000000,,
Equities,Magnum,2023-03-31,11981.2700000000,11981.269,0.00004
Government Bond,Fund Whitestone,2022-09-30,3134.0600000000,3134.06,0.00000
Equities,rpt-Catalysm,2022-11-30,14546.7900000000,14546.791,0.00028
Government Bond,Magnum,2023-08-31,3095.9000000000,3095.9,-0.00001
Equities,Belaware,2022-11-30,9835.5200000000,9835.5205,0.00004
Equities,rpt-Catalysm,2023-06-30,16602.1500000000,16602.15,-0.00010
Equities,Fund Whitestone,2023-03-31,9381.6000000000,9381.599,0.00015
Government Bond,rpt-Catalysm,2022-09-30,3925.0100000000,3925.0098,-0.00001
Government Bond,Belaware,2022-08-31,3223.3500000000,3223.35,-0.00002
Equities,Report-of-Gohen,2023-02-28,5517.6700000000,,
Government Bond,Virtous,2023-04-30,2451.5900000000,2451.59,-0.00003
Government Bond,Magnum,2022-12-31,3099.4500000000,3099.4502,-0.00004
Equities,mend-report Wallington,2023-06-30,15493.3100000000,,
Government Bond,Magnum,2023-03-31,3094.0200000000,3094.02,-0.00002
Equities,Report-of-Gohen,2023-07-31,6185.8600000000,,
Equities,Report-of-Gohen,2023-06-30,5965.7800000000,,
Government Bond,Magnum,2023-01-31,3095.4100000000,3095.4102,-0.00002
Government Bond,Leeder,2023-08-31,3137.1100000000,3137.11,-0.00001
Equities,Applebead,2023-04-30,10990.5800000000,,
Equities,Fund Whitestone,2023-04-30,9638.7300000000,,
Equities,Fund Whitestone,2023-07-31,9801.3400000000,9801.339,0.00008
Equities,Applebead,2022-08-31,9630.2700000000,9630.272,0.00005
Government Bond,Virtous,2023-08-31,2450.2400000000,2450.24,-0.00002
Government Bond,rpt-Catalysm,2023-07-31,3930.0100000000,3930.01,0.00003
Equities,Belaware,2023-02-28,9846.7300000000,9846.7295,0.00000
Equities,Magnum,2023-04-30,11983.3400000000,,
Government Bond,Belaware,2023-01-31,3215.1100000000,3215.1099,0.00001
Equities,Virtous,2023-07-31,9320.7600000000,9320.76,0.00003
Equities,Report-of-Gohen,2022-09-30,4713.8700000000,,
Government Bond,Virtous,2022-08-31,2455.0300000000,2455.03,0.00002
Government Bond,Fund Whitestone,2023-04-30,3138.8400000000,3138.8398,0.00000
Equities,rpt-Catalysm,2023-01-31,15487.4200000000,15487.42,0.00004
Equities,Leeder,2023-08-31,14476.2300000000,14476.23,-0.00002
Equities,Belaware,2023-07-31,10802.8100000000,10802.811,0.00003
Government Bond,Leeder,2023-06-30,3133.1200000000,3133.1199,0.00000
Government Bond,Fund Whitestone,2022-08-31,3144.0200000000,3144.02,-0.00001
Equities,rpt-Catalysm,2023-02-28,15114.0900000000,15114.089,-0.00002
Equities,Leeder,2023-03-31,14072.1300000000,14072.131,0.00018
Government Bond,Fund Whitestone,2023-05-31,3141.7000000000,3141.7002,-0.00004
Equities,Magnum,2023-02-28,11757.5200000000,11757.519,0.00002
Government Bond,Leeder,2023-04-30,3139.9000000000,3139.9,0.00000
Equities,Belaware,2023-06-30,10675.0200000000,10675.0205,0.00002
Government Bond,Fund Whitestone,2023-03-31,3135.0200000000,3135.02,0.00002
Equities,mend-report Wallington,2022-10-31,11820.1500000000,,
Equities,TT_monthly_Trustmind,2023-06-30,10379.4000000000,,
Equities,rpt-Catalysm,2023-07-31,16924.6700000000,16924.668,0.00006
Government Bond,Virtous,2023-05-31,2453.5400000000,2453.5403,-0.00003
Equities,Fund Whitestone,2022-08-31,8735.8100000000,8735.81,0.00001
Equities,rpt-Catalysm,2023-05-31,15353.5400000000,15353.539,-0.00021
Government Bond,rpt-Catalysm,2023-03-31,3926.6600000000,3926.66,0.00001
Equities,Fund Whitestone,2022-12-31,9213.3400000000,,
Equities,TT_monthly_Trustmind,2023-04-30,10102.2500000000,,
Equities,Leeder,2022-10-31,12912.9500000000,14204.241,-1291.29496
Government Bond,Fund Whitestone,2023-02-28,3136.5800000000,3136.5798,0.00005
Equities,mend-report Wallington,2023-01-31,13560.1300000000,,
Equities,rpt-Catalysm,2022-08-31,13424.6200000000,13424.621,-0.00010
Equities,Report-of-Gohen,2022-11-30,5494.8100000000,,
Government Bond,Fund Whitestone,2023-06-30,3133.8800000000,3133.8801,0.00000
Equities,Applebead,2022-11-30,10775.7500000000,10775.75,-0.00002
Equities,Fund Whitestone,2023-06-30,9656.9100000000,9656.911,-0.00015
Government Bond,Magnum,2023-04-30,3097.8400000000,3097.8398,0.00000
Equities,Applebead,2023-03-31,10854.9300000000,10854.931,0.00018
Government Bond,Virtous,2023-03-31,2448.0200000000,2448.02,0.00003
Equities,Belaware,2022-10-31,9083.2100000000,9991.53,-908.32100
Government Bond,Leeder,2022-09-30,3134.1400000000,3134.14,-0.00002
Equities,Leeder,2022-09-30,11543.2400000000,11543.239,0.00005
Government Bond,Leeder,2023-01-31,3136.4200000000,3136.4202,0.00000
Equities,mend-report Wallington,2023-03-31,13760.9000000000,,
Equities,Fund Whitestone,2022-11-30,9552.2300000000,9552.231,-0.00001
Government Bond,Belaware,2023-08-31,3216.5000000000,3216.5002,-0.00002
Equities,Virtous,2023-06-30,9078.5700000000,9078.571,0.00000
Equities,Magnum,2023-06-30,13060.7100000000,13060.711,-0.00007
Equities,mend-report Wallington,2023-07-31,15437.5300000000,,
Equities,Belaware,2023-08-31,10767.8800000000,10767.883,-0.00007
Government Bond,Fund Whitestone,2023-08-31,3136.4100000000,3136.4102,-0.00003
Equities,mend-report Wallington,2023-05-31,14089.4900000000,,
Equities,Fund Whitestone,2023-08-31,9441.5700000000,9441.57,0.00005
Government Bond,Applebead,2023-08-31,3281.9700000000,3281.97,0.00001
Equities,Report-of-Gohen,2023-03-31,5595.0300000000,,
Equities,Magnum,2023-08-31,13016.8800000000,13016.878,-0.00008
Government Bond,Virtous,2023-01-31,2448.3800000000,2448.38,-0.00001
Equities,Magnum,2022-11-30,11757.5700000000,11757.573,0.00001
Equities,Belaware,2023-03-31,10126.4600000000,10126.46,-0.00003
Government Bond,rpt-Catalysm,2023-01-31,3927.9900000000,3927.9902,-0.00001
Government Bond,Applebead,2023-06-30,3278.7100000000,3278.7102,0.00000
Equities,Leeder,2022-08-31,12362.0200000000,12362.017,-0.00002
Equities,mend-report Wallington,2023-02-28,13100.5500000000,,
Government Bond,rpt-Catalysm,2023-05-31,3934.8500000000,3934.85,0.00000
Government Bond,Magnum,2023-02-28,3097.4900000000,3097.49,0.00001
Equities,TT_monthly_Trustmind,2022-11-30,10300.7400000000,,
Equities,Belaware,2022-09-30,8401.5400000000,8401.541,0.00005
